id;profile_biz_id;start_hour;start_min;end_hour;end_min;day_num;enable;modified_date;created_date
1;22904;7616;1396;4812;25201;11273;false;24602;3776
2;7259;2130;3113;1826;8507;30368;true;2144;30627
3;31828;29982;22861;31509;24507;19744;false;23386;28176
4;4827;19425;12547;12633;563;28586;true;24489;6230
5;8635;20118;23630;28356;19398;9549;true;13527;20780
6;1729;31127;29940;2515;16644;15077;false;24551;23755
7;32630;31642;7649;15359;29736;2287;true;31241;3872
8;24418;3994;22556;4583;29419;15865;false;5620;13066
9;1737;7214;23490;23915;20419;18354;true;30102;28548
10;28002;21326;15710;23690;18000;3136;false;16388;6749
